City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Kirundo,BI,2022-07-28 03:48:58,-2.5833,30.1667,65.62,60,86,1.95
276,Srednekolymsk,RU,2022-07-28 03:49:06,67.45,153.6833,58.5,40,100,10.4
277,San Vicente,AR,2022-07-28 03:49:58,-26.6167,-54.1333,60.53,81,42,2.64
278,Pangnirtung,CA,2022-07-28 03:49:59,66.1451,-65.7125,54.09,69,100,1.25
279,Aksu,CN,2022-07-28 03:49:59,41.1231,80.2644,95.63,15,6,7.96
280,Mirnyy,RU,2022-07-28 03:49:59,62.5353,113.9611,91.24,36,2,11.01
281,Caravelas,BR,2022-07-28 03:50:00,-17.7125,-39.2481,67.39,86,32,1.61
282,Sistranda,NO,2022-07-28 03:46:30,63.7256,8.834,49.96,71,100,8.88
283,Zyryanka,RU,2022-07-28 03:50:00,65.75,150.85,62.15,35,100,9.44
284,Sulangan,PH,2022-07-28 03:50:01,11.1373,123.7228,84.65,71,99,7.29
285,Ngawen,ID,2022-07-28 03:50:01,-7.0032,111.3129,85.73,60,100,6.42
286,Krasnyy Yar,RU,2022-07-28 03:50:01,46.5331,48.3456,71.53,82,100,5.61
287,Coihaique,CL,2022-07-28 03:47:57,-45.5752,-72.0662,39.81,65,0,3.44
288,Makakilo City,US,2022-07-28 03:50:02,21.3469,-158.0858,82.72,56,0,14.97
289,Vuktyl,RU,2022-07-28 03:50:02,63.8567,57.3094,66.07,50,94,4.23
290,Richards Bay,ZA,2022-07-28 03:50:03,-28.783,32.0377,62.47,89,89,4.99
291,Ilabaya,PE,2022-07-28 03:50:03,-17.4208,-70.5133,59.32,52,5,0.51
292,Mount Isa,AU,2022-07-28 03:50:03,-20.7333,139.5,74.97,22,31,14.97
