City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
272,Smithers,CA,54.7804,-127.1743,71.92,46,20,6.91,few clouds
273,Atar,MR,20.5169,-13.0499,85.06,52,12,12.93,few clouds
274,Qaanaaq,GL,77.484,-69.3632,35.85,83,75,5.41,broken clouds
275,Boralday,KZ,43.3578,76.8594,82.26,44,75,6.71,broken clouds
276,Dhidhdhoo,MV,6.8833,73.1,79.39,85,100,16.98,overcast clouds
277,Varkkallai,IN,8.7341,76.7067,83.98,77,88,2.44,overcast clouds
278,Leningradskiy,RU,69.3833,178.4167,42.6,74,86,9.53,overcast clouds
279,La Cumbre,AR,-30.982,-64.4914,34.7,38,0,2.53,clear sky
280,Centralia,US,46.7162,-122.9543,78.85,66,0,0.0,clear sky
281,Murray Bridge,AU,-35.1167,139.2667,59.34,52,100,10.22,overcast clouds
282,Faanui,PF,-16.4833,-151.75,79.25,74,3,21.88,clear sky
283,Zhigansk,RU,66.7697,123.3711,80.8,42,94,4.23,overcast clouds
284,Kirensk,RU,57.7853,108.1119,64.53,73,100,9.37,overcast clouds
285,Vysokoye,BY,52.3709,23.3708,57.04,75,52,3.62,broken clouds
286,Shubarkuduk,KZ,49.1447,56.4872,77.45,48,41,5.03,light rain
287,Ancud,CL,-41.8697,-73.8203,44.22,76,98,2.37,overcast clouds
288,Morant Bay,JM,17.8815,-76.4093,80.22,82,38,8.32,scattered clouds
289,Ponta Do Sol,PT,32.6667,-17.1,74.01,81,13,4.16,few clouds
290,Vanavara,RU,60.34,102.2797,65.86,79,99,7.78,overcast clouds
291,Filingue,NE,14.3521,3.3168,75.96,72,100,11.48,overcast clouds
292,Faya,SA,18.3851,42.4509,75.31,44,26,3.58,scattered clouds
293,Cherskiy,RU,68.75,161.3,63.43,36,66,10.18,broken clouds
294,San Quintin,MX,30.4833,-115.95,67.28,86,24,7.96,few clouds
295,Mizque,BO,-17.941,-65.3402,56.01,92,82,2.39,broken clouds
296,Manggar,ID,-2.8833,108.2667,80.28,83,100,10.33,overcast clouds
297,Kizukuri,JP,40.8061,140.3861,87.12,60,84,5.7,broken clouds
298,Luderitz,NA,-26.6481,15.1594,52.7,84,84,6.53,broken clouds
299,Mahibadhoo,MV,3.7833,72.9667,81.88,76,56,14.32,broken clouds
300,Sitka,US,57.0531,-135.33,58.89,88,100,12.66,heavy intensity rain
301,Paramonga,PE,-10.6667,-77.8333,61.09,82,73,7.11,broken clouds
302,San Andres,CO,12.5847,-81.7006,80.62,83,40,9.22,scattered clouds
303,Natal,BR,-5.795,-35.2094,73.62,94,0,4.61,clear sky
304,Mana,GF,5.6592,-53.7767,75.15,90,47,5.19,scattered clouds
305,Brae,GB,60.3964,-1.353,53.92,85,89,10.63,overcast clouds
306,Karasjok,NO,69.4719,25.5112,51.39,72,65,1.7,broken clouds
307,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.56,87,53,0.4,broken clouds
308,Brigantine,US,39.4101,-74.3646,80.02,86,0,6.91,clear sky
309,Kilindoni,TZ,-7.9139,39.6668,75.72,75,60,13.62,broken clouds
310,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,61.61,64,6,15.77,clear sky
311,Byron Bay,AU,-28.65,153.6167,69.94,51,0,3.56,clear sky
312,Catuday,PH,16.2923,119.8062,83.77,73,90,7.02,overcast clouds
313,Laguna,US,38.421,-121.4238,81.18,65,0,8.05,clear sky
314,San Patricio,US,28.017,-97.5169,85.86,75,53,13.4,broken clouds
315,Kichera,RU,55.9375,110.0997,52.99,99,100,1.52,light rain
316,Olafsvik,IS,64.8945,-23.7142,45.45,83,65,11.79,broken clouds
317,Bayangol,RU,50.6977,103.4656,64.22,69,64,5.35,light rain
318,Blagoveshchenka,RU,52.8333,79.8667,81.09,34,21,11.5,few clouds
319,Warrington,GB,53.3925,-2.5802,60.33,85,40,4.61,light intensity shower rain
320,Guerrero Negro,MX,27.9769,-114.0611,68.47,84,15,12.8,few clouds
321,Derzhavinsk,KZ,51.1,66.3167,65.98,71,100,15.97,overcast clouds
322,Ajdabiya,LY,30.7554,20.2263,77.72,64,0,5.48,clear sky
323,Itarema,BR,-2.9248,-39.9167,76.1,89,99,11.36,overcast clouds
324,Nantucket,US,41.2835,-70.0995,78.91,98,100,8.05,fog
325,Khartoum,SD,15.5518,32.5324,78.03,83,96,1.01,overcast clouds
326,Progreso,MX,21.2833,-89.6667,78.12,83,88,13.6,overcast clouds
327,Severnyy,RU,50.677,36.5532,66.24,77,0,8.95,clear sky
328,Santana Do Matos,BR,-5.9575,-36.6556,71.46,83,45,5.26,scattered clouds
329,Ust-Shonosha,RU,61.1531,41.343,66.15,86,86,3.91,overcast clouds
330,Batemans Bay,AU,-35.7167,150.1833,55.09,42,22,11.23,few clouds
331,Norman Wells,CA,65.282,-126.8329,59.04,55,75,3.44,broken clouds
332,Dicabisagan,PH,17.0818,122.4157,88.9,64,87,4.38,overcast clouds
333,Shingu,JP,33.7333,135.9833,85.14,71,39,7.81,scattered clouds
334,Makakilo City,US,21.3469,-158.0858,80.92,63,0,12.66,clear sky
335,Guapo,BR,-16.8306,-49.5319,59.38,41,32,2.26,scattered clouds
336,Victoria,HK,22.2855,114.1577,95.97,69,87,7.0,overcast clouds
337,Ipora,BR,-16.4419,-51.1178,63.97,43,38,1.92,scattered clouds
338,Barra,BR,-11.0894,-43.1417,70.23,65,0,6.8,clear sky
339,Teguise,ES,29.0605,-13.564,68.22,83,75,19.57,broken clouds
340,Tessalit,ML,20.1986,1.0114,82.26,50,97,15.95,overcast clouds
341,Nome,US,64.5011,-165.4064,59.16,82,100,5.75,overcast clouds
342,Imeni Poliny Osipenko,RU,52.4201,136.4853,81.57,67,100,9.35,overcast clouds
343,Najran,SA,17.4924,44.1277,86.65,29,33,2.37,scattered clouds
344,Mayumba,GA,-3.432,10.6554,68.41,91,76,3.67,broken clouds
